total,start,bugzilla,github,end
23,2017-07-10,0,23,2017-07-17
49,2017-07-03,0,49,2017-07-10
17,2017-06-26,0,17,2017-07-03
5,2017-06-19,0,5,2017-06-26
22,2017-06-12,0,22,2017-06-19
12,2017-06-05,0,12,2017-06-12
12,2017-05-29,0,12,2017-06-05
11,2017-05-22,0,11,2017-05-29
5,2017-05-15,0,5,2017-05-22
2,2017-05-08,0,2,2017-05-15
11,2017-05-01,0,11,2017-05-08
7,2017-04-24,0,7,2017-05-01
9,2017-04-17,0,9,2017-04-24
5,2017-04-10,0,5,2017-04-17
5,2017-04-03,0,5,2017-04-10
11,2017-03-27,0,11,2017-04-03
58,2017-03-20,0,58,2017-03-27
13,2017-03-13,0,13,2017-03-20
12,2017-03-06,0,12,2017-03-13
22,2017-02-27,0,22,2017-03-06
25,2017-02-20,0,25,2017-02-27
30,2017-02-13,0,30,2017-02-20
36,2017-02-06,0,36,2017-02-13
13,2017-01-30,0,13,2017-02-06
25,2017-01-23,0,25,2017-01-30
17,2017-01-16,0,17,2017-01-23
20,2017-01-09,0,20,2017-01-16
15,2017-01-02,0,15,2017-01-09
2,2016-12-26,0,2,2017-01-02
5,2016-12-19,0,5,2016-12-26
18,2016-12-12,0,18,2016-12-19
5,2016-12-05,0,5,2016-12-12
11,2016-11-28,0,11,2016-12-05
16,2016-11-21,0,16,2016-11-28
22,2016-11-14,0,22,2016-11-21
18,2016-11-07,0,18,2016-11-14
14,2016-10-31,0,14,2016-11-07
20,2016-10-24,0,20,2016-10-31
22,2016-10-17,0,22,2016-10-24
22,2016-10-10,0,22,2016-10-17
14,2016-10-03,0,14,2016-10-10
17,2016-09-26,0,17,2016-10-03
34,2016-09-19,0,34,2016-09-26
13,2016-09-12,0,13,2016-09-19
17,2016-09-05,0,17,2016-09-12
21,2016-08-29,0,21,2016-09-05
24,2016-08-22,0,24,2016-08-29
11,2016-08-15,0,11,2016-08-22
26,2016-08-08,0,26,2016-08-15
19,2016-08-01,0,19,2016-08-08
16,2016-07-25,0,16,2016-08-01
20,2016-07-18,0,20,2016-07-25
22,2016-07-11,0,22,2016-07-18
15,2016-07-04,0,15,2016-07-11
27,2016-06-27,0,27,2016-07-04
11,2016-06-20,0,11,2016-06-27
0,2016-06-13,0,0,2016-06-20
17,2016-06-06,0,17,2016-06-13
25,2016-05-30,0,25,2016-06-06
22,2016-05-23,0,22,2016-05-30
17,2016-05-16,0,17,2016-05-23
35,2016-05-09,0,35,2016-05-16
20,2016-05-02,0,20,2016-05-09
12,2016-04-25,0,12,2016-05-02
27,2016-04-18,0,27,2016-04-25
40,2016-04-11,0,40,2016-04-18
23,2016-04-04,0,23,2016-04-11
57,2016-03-28,0,57,2016-04-04
15,2016-03-21,0,15,2016-03-28
16,2016-03-14,0,16,2016-03-21
15,2016-03-07,0,15,2016-03-14
14,2016-02-29,0,14,2016-03-07
18,2016-02-22,0,18,2016-02-29
9,2016-02-15,0,9,2016-02-22
5,2016-02-08,0,5,2016-02-15
27,2016-02-01,0,27,2016-02-08
9,2016-01-25,0,9,2016-02-01
20,2016-01-18,0,20,2016-01-25
3,2016-01-11,0,3,2016-01-18
20,2016-01-04,0,20,2016-01-11
9,2015-12-28,0,9,2016-01-04
